
Symbol table '.symtab' contains 8099 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
   131: 0045bad8     8 OBJECT  LOCAL  DEFAULT    8 max_slots
   132: 003997a8    32 OBJECT  LOCAL  DEFAULT    4 playercontrollers
   133: 0045bae4     4 OBJECT  LOCAL  DEFAULT    8 replaybuf
   134: 0045bae8     4 OBJECT  LOCAL  DEFAULT    8 replaybuflen
   135: 0045baec     4 OBJECT  LOCAL  DEFAULT    8 replaymode
   136: 0045baf0     4 OBJECT  LOCAL  DEFAULT    8 replaynumplayers
   137: 0045baf4     4 OBJECT  LOCAL  DEFAULT    8 replayend
   138: 0045e31c     0 NOTYPE  LOCAL  DEFAULT    9 replayptr
   139: 0045baf8     4 OBJECT  LOCAL  DEFAULT    8 total.114
   140: 0045bafc     4 OBJECT  LOCAL  DEFAULT    8 num.115
   141: 00205b10   176 FUNC    LOCAL  DEFAULT    1 joyFixVal
   142: 00205bc0   108 FUNC    LOCAL  DEFAULT    1 controllerOpen
   143: 00205c30  1024 FUNC    LOCAL  DEFAULT    1 controllerTick
   144: 00206030   100 FUNC    LOCAL  DEFAULT    1 joyMtapTick
   145: 002060b0    56 FUNC    LOCAL  DEFAULT    1 set_cheat
   146: 002060e8    36 FUNC    LOCAL  DEFAULT    1 cheat1
   147: 00206110     8 FUNC    LOCAL  DEFAULT    1 setcheat1
   148: 00206118     8 FUNC    LOCAL  DEFAULT    1 setcheat2
   149: 00206120     8 FUNC    LOCAL  DEFAULT    1 setcheat3
   150: 00206128     8 FUNC    LOCAL  DEFAULT    1 setcheat4
   151: 00206130     8 FUNC    LOCAL  DEFAULT    1 setcheat5
   152: 00206138   328 FUNC    LOCAL  DEFAULT    1 cheatTick
   153: 00206e30     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   154: 00206e30     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   155: 0045bb08     4 OBJECT  LOCAL  DEFAULT    8 thissoundbuf
   156: 01f30610     0 NOTYPE  LOCAL  DEFAULT   10 soundbuffers
   157: 0045bb0c     4 OBJECT  LOCAL  DEFAULT    8 transinprogress
   158: 0045bb10     4 OBJECT  LOCAL  DEFAULT    8 lastannounce
   159: 0045bb14     4 OBJECT  LOCAL  DEFAULT    8 announcecountdown
   160: 0045bb18     4 OBJECT  LOCAL  DEFAULT    8 totalSize
   161: 0045bb1c     4 OBJECT  LOCAL  DEFAULT    8 totalMainMem
   162: 0045e320     0 NOTYPE  LOCAL  DEFAULT    9 ioploadbuf
   163: 0045e324     0 NOTYPE  LOCAL  DEFAULT    9 iopcmdbuf
   164: 01f30780     0 NOTYPE  LOCAL  DEFAULT   10 delaysounds
   165: 0045e328     0 NOTYPE  LOCAL  DEFAULT    9 numloopsounds
   166: 01f306a0     0 NOTYPE  LOCAL  DEFAULT   10 demand_contents
   167: 0045bb34     4 OBJECT  LOCAL  DEFAULT    8 sound_core
   168: 0045bb38     4 OBJECT  LOCAL  DEFAULT    8 sound_voice
   169: 00207658    12 FUNC    LOCAL  DEFAULT    1 soundSetChannel
   170: 0045bb3c     4 OBJECT  LOCAL  DEFAULT    8 soundbatchlen
   171: 00207668   160 FUNC    LOCAL  DEFAULT    1 soundBatchAdd
   172: 01f308c0     0 NOTYPE  LOCAL  DEFAULT   10 soundbatch
   173: 00207708   100 FUNC    LOCAL  DEFAULT    1 soundBatchExec
   174: 00207770     8 FUNC    LOCAL  DEFAULT    1 soundBatchReset
   175: 00207778   732 FUNC    LOCAL  DEFAULT    1 soundCalcVol
   176: 01f306c0     0 NOTYPE  LOCAL  DEFAULT   10 loopsounds
   177: 0045bb44     4 OBJECT  LOCAL  DEFAULT    8 demandbuf2.270
   178: 0045bb4c     4 OBJECT  LOCAL  DEFAULT    8 c.286
   179: 0045bb50     4 OBJECT  LOCAL  DEFAULT    8 v.287
   180: 00208598    84 FUNC    LOCAL  DEFAULT    1 getNextChannel
   181: 01f30480     0 NOTYPE  LOCAL  DEFAULT   10 soundsplayed.291
   182: 0045bb54     4 OBJECT  LOCAL  DEFAULT    8 lastsoundframenum.292
   183: 0045bb58     4 OBJECT  LOCAL  DEFAULT    8 numsounds.293
   184: 00208ba8     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   185: 00208ba8     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   186: 0045bb60     4 OBJECT  LOCAL  DEFAULT    8 musicstate
   187: 0045bb64     4 OBJECT  LOCAL  DEFAULT    8 musicopened
   188: 00208ba8    80 FUNC    LOCAL  DEFAULT    1 musicOpen
   189: 00208bf8    48 FUNC    LOCAL  DEFAULT    1 musicClose
   190: 00208c28     8 FUNC    LOCAL  DEFAULT    1 musicGetState
   191: 00208c30    72 FUNC    LOCAL  DEFAULT    1 musicStart
   192: 00208c78    64 FUNC    LOCAL  DEFAULT    1 musicStop
   193: 00208ce8    68 FUNC    LOCAL  DEFAULT    1 musicStopClose
   194: 0045bb68     4 OBJECT  LOCAL  DEFAULT    8 destvol.222
   195: 0045bb6c     4 OBJECT  LOCAL  DEFAULT    8 curvol.223
   196: 00208fa0     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   197: 00208fa0     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   198: 01f30f40     0 NOTYPE  LOCAL  DEFAULT   10 cd
   199: 01f30f00     0 NOTYPE  LOCAL  DEFAULT   10 sbuf
   200: 002090a0     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   201: 002090a0     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   202: 002090a0     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   203: 002090a0     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   204: 003a5c38    20 OBJECT  LOCAL  DEFAULT    4 envmax
   205: 003a5c50   512 OBJECT  LOCAL  DEFAULT    4 lindectable
   206: 003a5e50   512 OBJECT  LOCAL  DEFAULT    4 lininctable
   207: 003a6050   512 OBJECT  LOCAL  DEFAULT    4 expdectable
   208: 0045bb70     8 OBJECT  LOCAL  DEFAULT    8 snd
   209: 002090a0   268 FUNC    LOCAL  DEFAULT    1 calcPitches
   210: 01f30fa8     0 NOTYPE  LOCAL  DEFAULT   10 pitches
   211: 002091b0   100 FUNC    LOCAL  DEFAULT    1 getNote
   212: 00209218    36 FUNC    LOCAL  DEFAULT    1 setcursound
   213: 00209240   668 FUNC    LOCAL  DEFAULT    1 sounddataSave
   214: 002094e0   696 FUNC    LOCAL  DEFAULT    1 menutick
   215: 00209798   592 FUNC    LOCAL  DEFAULT    1 pagedrawbg
   216: 003a6250    16 OBJECT  LOCAL  DEFAULT    4 soundselect_menu
   217: 003a6260   672 OBJECT  LOCAL  DEFAULT    4 soundselect_menuitems
   218: 003a66f8    20 OBJECT  LOCAL  DEFAULT    4 main_page
   219: 002099e8    52 FUNC    LOCAL  DEFAULT    1 soundselect_pageDraw
   220: 0045bb90     4 OBJECT  LOCAL  DEFAULT    8 first_sound
   221: 01f30f68     0 NOTYPE  LOCAL  DEFAULT   10 nums.201
   222: 00209a20   768 FUNC    LOCAL  DEFAULT    1 soundselect_pageTick
   223: 003a6500    20 OBJECT  LOCAL  DEFAULT    4 soundselect_page
   224: 00209d20    96 FUNC    LOCAL  DEFAULT    1 message_pageDraw
   225: 01f31428     0 NOTYPE  LOCAL  DEFAULT   10 msgbox_msg
   226: 0045e330     0 NOTYPE  LOCAL  DEFAULT    9 msgbox_colour
   227: 00209d80    36 FUNC    LOCAL  DEFAULT    1 defaultmessagetick
   228: 00209da8    88 FUNC    LOCAL  DEFAULT    1 message_pageTick
   229: 0045e32c     0 NOTYPE  LOCAL  DEFAULT    9 msgbox_func
   230: 003a6518    20 OBJECT  LOCAL  DEFAULT    4 message_page
   231: 00209e00   288 FUNC    LOCAL  DEFAULT    1 startMessage
   232: 003a6530    16 OBJECT  LOCAL  DEFAULT    4 disp_vol
   233: 003a6540    40 OBJECT  LOCAL  DEFAULT    4 gv_volume
   234: 003a6568    16 OBJECT  LOCAL  DEFAULT    4 main_menu
   235: 003a6578   384 OBJECT  LOCAL  DEFAULT    4 i0000
   236: 00209f20   320 FUNC    LOCAL  DEFAULT    1 envelope_draw
   237: 0020a060   420 FUNC    LOCAL  DEFAULT    1 adsrvalue_draw
   238: 0020a208   956 FUNC    LOCAL  DEFAULT    1 main_pageDraw
   239: 0020a5c8  1000 FUNC    LOCAL  DEFAULT    1 main_pageTick
   240: 0020a9f8     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   241: 0020a9f8     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   242: 0045bc18     4 OBJECT  LOCAL  DEFAULT    8 mcardresult
   243: 0045bc1c     4 OBJECT  LOCAL  DEFAULT    8 mcardstate
   244: 0045bc20     4 OBJECT  LOCAL  DEFAULT    8 port
   245: 0045bc24     4 OBJECT  LOCAL  DEFAULT    8 slot
   246: 0045bc28     4 OBJECT  LOCAL  DEFAULT    8 checkcards_port
   247: 0045bc2c     4 OBJECT  LOCAL  DEFAULT    8 checkcards_slot
   248: 0045bc30     4 OBJECT  LOCAL  DEFAULT    8 checkcards_type
   249: 0045bc34     4 OBJECT  LOCAL  DEFAULT    8 checkcards_free
   250: 0045bc38     4 OBJECT  LOCAL  DEFAULT    8 checkcards_format
   251: 0045bc3c     4 OBJECT  LOCAL  DEFAULT    8 mkdir_overwriteok
   252: 0045bc40     4 OBJECT  LOCAL  DEFAULT    8 mkdir_copyprotect
   253: 003a6710   512 OBJECT  LOCAL  DEFAULT    4 mkdir_tmpbuf
   254: 0045bc44     4 OBJECT  LOCAL  DEFAULT    8 mkdir_fd
   255: 0045bc48     4 OBJECT  LOCAL  DEFAULT    8 read_buffer
   256: 0045bc4c     4 OBJECT  LOCAL  DEFAULT    8 request_read_len
   257: 0045bc50     4 OBJECT  LOCAL  DEFAULT    8 read_fd
   258: 0045bc54     4 OBJECT  LOCAL  DEFAULT    8 write_buffer
   259: 0045bc58     4 OBJECT  LOCAL  DEFAULT    8 write_len
   260: 0045bc5c     4 OBJECT  LOCAL  DEFAULT    8 write_overwriteok
   261: 0045bc60     4 OBJECT  LOCAL  DEFAULT    8 write_fd
   262: 003a6910    64 OBJECT  LOCAL  DEFAULT    4 bgcolor.75
   263: 003a6950    48 OBJECT  LOCAL  DEFAULT    4 lightdir.76
   264: 003a6980    48 OBJECT  LOCAL  DEFAULT    4 lightcol.77
   265: 003a69b0    16 OBJECT  LOCAL  DEFAULT    4 ambient.78
   266: 0020a9f8   596 FUNC    LOCAL  DEFAULT    1 makeIconSys
   267: 01f318c0     0 NOTYPE  LOCAL  DEFAULT   10 mkdir_iconsys
   268: 0045e360     0 NOTYPE  LOCAL  DEFAULT    9 iconfilesize
   269: 0045e350     0 NOTYPE  LOCAL  DEFAULT    9 iconfilename
   270: 0045e358     0 NOTYPE  LOCAL  DEFAULT    9 iconfiledata
   271: 0045e338     0 NOTYPE  LOCAL  DEFAULT    9 checkcards_cards_array
   272: 0045e33c     0 NOTYPE  LOCAL  DEFAULT    9 checkcards_free_array
   273: 0045e340     0 NOTYPE  LOCAL  DEFAULT    9 checkcards_state_array
   274: 0045e344     0 NOTYPE  LOCAL  DEFAULT    9 getentspace_path
   275: 0045e348     0 NOTYPE  LOCAL  DEFAULT    9 getentspace_retval
   276: 01f32040     0 NOTYPE  LOCAL  DEFAULT   10 exists_filename
   277: 01f31840     0 NOTYPE  LOCAL  DEFAULT   10 mkdir_dirname
   278: 0045e368     0 NOTYPE  LOCAL  DEFAULT    9 getdir_flags
   279: 01f31d00     0 NOTYPE  LOCAL  DEFAULT   10 getdir_table
   280: 0045e34c     0 NOTYPE  LOCAL  DEFAULT    9 mkdir_gamedir
   281: 01f31cc0     0 NOTYPE  LOCAL  DEFAULT   10 mkdir_fileattr
   282: 01f31ec0     0 NOTYPE  LOCAL  DEFAULT   10 read_filename
   283: 0045e370     0 NOTYPE  LOCAL  DEFAULT    9 read_seek
   284: 0045e36c     0 NOTYPE  LOCAL  DEFAULT    9 result_read_len
   285: 01f31f40     0 NOTYPE  LOCAL  DEFAULT   10 write_filename
   286: 0045e374     0 NOTYPE  LOCAL  DEFAULT    9 write_seek
   287: 01f31fc0     0 NOTYPE  LOCAL  DEFAULT   10 delete_filename
   288: 0020c278     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   289: 0020c278     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   290: 0020f760     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   291: 0020f760     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   292: 0020f988     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   293: 0020f988     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   294: 01f320c0     0 NOTYPE  LOCAL  DEFAULT   10 windowsave
   295: 002100f8     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   296: 002100f8     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   297: 002100f8   104 FUNC    LOCAL  DEFAULT    1 toggledebug
   298: 00210160   120 FUNC    LOCAL  DEFAULT    1 focusnext
   299: 002101d8   112 FUNC    LOCAL  DEFAULT    1 focusprev
   300: 00210cf0     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   301: 00210cf0     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   302: 00211668    28 FUNC    LOCAL  DEFAULT    1 getturtlecpu
   303: 00211688    28 FUNC    LOCAL  DEFAULT    1 getturtlegs
   304: 002116a8    20 FUNC    LOCAL  DEFAULT    1 toggleturtlecpu
   305: 002116c0    20 FUNC    LOCAL  DEFAULT    1 toggleturtlegs
   306: 0045bde8     8 OBJECT  LOCAL  DEFAULT    8 framePercent
   307: 0045bdf0     8 OBJECT  LOCAL  DEFAULT    8 framePercentMax
   308: 0045bdf8     8 OBJECT  LOCAL  DEFAULT    8 framePercentChange
   309: 00211758     8 FUNC    LOCAL  DEFAULT    1 displayspeedGfx
   310: 00211760     8 FUNC    LOCAL  DEFAULT    1 displayperfstatsGfx
   311: 00211768     8 FUNC    LOCAL  DEFAULT    1 displayposGfx
   312: 00211878     0 NOTYPE  LOCAL  DEFAULT    1 gcc2_compiled.
   313: 00211878     0 NOTYPE  LOCAL  DEFAULT    1 __gnu_compiled_c
   314: 01f32110     0 NOTYPE  LOCAL  DEFAULT   10 igmparms
   315: 00211a18    28 FUNC    LOCAL  DEFAULT    1 igmGetPageLeft
   316: 00211a58   352 FUNC    LOCAL  DEFAULT    1 igmGetPageLeftFromInit
   317: 00211a38    28 FUNC    LOCAL  DEFAULT    1 igmGetPageRight
   318: 00211bb8   300 FUNC    LOCAL  DEFAULT    1 igmGetPageRightFromInit
   319: 003a7f20    20 OBJECT  LOCAL  DEFAULT    4 inventory_page
   320: 003a7ed8    20 OBJECT  LOCAL  DEFAULT    4 options_page
   321: 003a7ec0    20 OBJECT  LOCAL  DEFAULT    4 endgame_page
   322: 003a7f08    20 OBJECT  LOCAL  DEFAULT    4 scores_page
   323: 003a7f38    20 OBJECT  LOCAL  DEFAULT    4 status_page
   324: 003a7e90    20 OBJECT  LOCAL  DEFAULT    4 stats_page
   325: 003a7f50    20 OBJECT  LOCAL  DEFAULT    4 briefing_page
   326: 003a7ea8    20 OBJECT  LOCAL  DEFAULT    4 awards_page
   327: 00216570   440 FUNC    LOCAL  DEFAULT    1 ingamemenuPageReady
   328: 003a7a58    12 OBJECT  LOCAL  DEFAULT    4 menueyepos
   329: 003a7a68    12 OBJECT  LOCAL  DEFAULT    4 menulookat
   330: 003a7a78    12 OBJECT  LOCAL  DEFAULT    4 menuup
   331: 003a7a88    12 OBJECT  LOCAL  DEFAULT    4 startmenueyepos
   332: 003a7a98    12 OBJECT  LOCAL  DEFAULT    4 startmenulookat
   333: 003a7aa8    12 OBJECT  LOCAL  DEFAULT    4 startmenuup
   334: 00216db0    84 FUNC    LOCAL  DEFAULT    1 igmPageOut
   335: 00216e08   128 FUNC    LOCAL  DEFAULT    1 igmPageIn
   336: 002173f0   220 FUNC    LOCAL  DEFAULT    1 ingamemenuFocus
   337: 00216e88    72 FUNC    LOCAL  DEFAULT    1 igmPageNew
   338: 00216ed0   156 FUNC    LOCAL  DEFAULT    1 igmCanChangePage
   339: 00216f70   204 FUNC    LOCAL  DEFAULT    1 igmPageDown
   340: 00217040    68 FUNC    LOCAL  DEFAULT    1 igmPageDownNoLevel
   341: 00217088   204 FUNC    LOCAL  DEFAULT    1 igmPageUp
   342: 00217158    68 FUNC    LOCAL  DEFAULT    1 igmPageUpNoLevel
   343: 002171a0   220 FUNC    LOCAL  DEFAULT    1 igmPageLeft
   344: 00217280   220 FUNC    LOCAL  DEFAULT    1 igmPageRight
